source,target,weight
1,2,190
1,3,87
1,4,124
1,5,114
1,6,131
1,7,28
1,8,63
1,9,144
1,10,93
1,11,34
1,12,146
1,13,47
1,14,95
1,15,41
1,16,67
1,17,70
1,18,24
1,19,50
1,20,26
2,3,133
2,4,178
2,5,169
2,6,201
2,7,42
2,8,92
2,9,234
2,10,148
2,11,45
2,12,215
2,13,65
2,14,143
2,15,62
2,16,101
2,17,89
2,18,45
2,19,73
2,20,41
3,4,90
3,5,62
3,6,98
3,7,25
3,8,31
3,9,106
3,10,86
3,11,16
3,12,133
3,13,44
3,14,116
3,15,35
3,16,39
3,17,31
3,18,25
3,19,32
3,20,28
4,5,98
4,6,138
4,7,32
4,8,53
4,9,142
4,10,111
4,11,25
4,12,162
4,13,47
4,14,110
4,15,45
4,16,71
4,17,63
4,18,34
4,19,50
4,20,34
5,6,117
5,7,30
5,8,60
5,9,113
5,10,83
5,11,23
5,12,115
5,13,34
5,14,74
5,15,35
5,16,73
5,17,67
5,18,22
5,19,38
5,20,24
6,7,39
6,8,61
6,9,164
6,10,124
6,11,31
6,12,164
6,13,54
6,14,107
6,15,50
6,16,77
6,17,64
6,18,39
6,19,72
6,20,33
7,8,14
7,9,36
7,10,35
7,11,11
7,12,44
7,13,13
7,14,26
7,15,10
7,16,17
7,17,13
7,18,6
7,19,18
7,20,11
8,9,87
8,10,42
8,11,16
8,12,69
8,13,28
8,14,48
8,15,26
8,16,43
8,17,38
8,18,10
8,19,25
8,20,16
9,10,125
9,11,45
9,12,179
9,13,66
9,14,123
9,15,50
9,16,69
9,17,67
9,18,40
9,19,59
9,20,35
10,11,25
10,12,140
10,13,45
10,14,108
10,15,32
10,16,52
10,17,49
10,18,43
10,19,52
10,20,37
11,12,39
11,13,11
11,14,20
11,15,10
11,16,18
11,17,12
11,18,9
11,19,16
11,20,4
12,13,55
12,14,138
12,15,51
12,16,78
12,17,59
12,18,41
12,19,66
12,20,40
13,14,64
13,15,14
13,16,25
13,17,23
13,18,33
13,19,18
13,20,18
14,15,40
14,16,49
14,17,48
14,18,45
14,19,40
14,20,40
15,16,29
15,17,23
15,18,15
15,19,28
15,20,13
16,17,40
16,18,21
16,19,34
16,20,13
17,18,16
17,19,24
17,20,15
18,19,10
18,20,13
19,20,13
